Course Number,Course Name,Course Description
COSC 301,Introduction to Data Analytics,"Techniques for computation, analysis, and visualization of data using software. Manipulation of small and large data sets. Automation using scripting. Real-world applications from life sciences, physical sciences, economics, engineering, or psychology. No prior computing background is required. Credit will be granted for only one of COSC 301, DATA 301 or DATA 501. [3-2-0] Prerequisite: Either (a) third-year standing, or (b) one of COSC 111 or COSC 122 Equivalency: DATA 301."
COSC 315,Introduction to Operating Systems,"Introduction to batch, multiprogramming, and time-sharing systems. Process synchronization and communication. Main memory allocation techniques including virtual memory; process scheduling; deadlock avoidance and prevention; file organization and device management. [3-2-0] Prerequisite: All of COSC 221, COSC 222."
COSC 322,Introduction to Artificial Intelligence,"AI and intelligent agents; state space search; game playing agents; logic and knowledge-based agents; constraint programming; planning; reasoning and decision making under uncertainty; machine learning; natural language understanding. Credit will be granted for only one of COSC 322 or COSC 522. [3-2-0] Prerequisite: All of COSC 221, COSC 222."
COSC 406,Numerical Optimization,"Formulation and analysis of algorithms for continuous optimization problems; linear, quadratic, semi-definite, nonlinear (constrained and unconstrained), convex (smooth and non-smooth) optimization; large-scale problems; software packages and their implementation; elements of duality theory. Credit will not be granted for both COSC 406 and COSC 506. [3-2-0] Prerequisite: One of MATH 200, APSC 248 and one of MATH 221, APSC 179."
MATH 319,Introduction to Partial Differential Equations,"Methods of separation of variable, Fourier series, heat, wave and Laplace's equations, boundary value problems, eigenfunction expansions, and Sturm-Liouville problems. [3-0-1] Prerequisite: All of MATH 200, MATH 225."
MATH 340,Introduction to Linear Programming,"Linear programming problems, dual problems, the simplex algorithm, solution of primal and dual problems, sensitivity analysis. Additional topics chosen from: Karmarkar's algorithm, non-linear programming, game theory, applications. [3-0-0] Prerequisite: MATH 221."
MATH 350,Complex Variables and Applications,"Covers analytic functions, Cauchy-Riemann equations, power series, Laurent series, elementary functions, contour integrals, and poles and residues. Introduction to conformal mapping and applications of analysis to problems in physics and engineering. [3-0-0] Prerequisite: MATH 200."
PHYS 305,Introduction to Biophysics,"Analysis of biological systems from a physicist's perspective. Introduction to physics underlying biological phenomena, and range of applicability of simple physical principles. Form and size in animals, strength and energy storage in structural elements, thermal regulation, fluid motion within organisms, life in fluids, and molecular physics topics. [3-0-0] Prerequisite: MATH 101 and either (a) PHYS 121 or (b) a score of 68% or higher in PHYS 112 and a score of 68% or higher in PHYS 122. Third-year standing in Science or a 200-level PHYS course taken concurrently."
PHYS 310,Introduction to Medical Physics,Radiation interactions with matter; use of ionizing and non-ionizing radiation to diagnose and treat disease; radiation dosimetry; introduction to radiobiology; radiation effects in healthy and tumour tissue; radiation protection; medical imaging in radiation therapy. [3-0-0] Prerequisite: MATH 101 and either (a) PHYS 121 or (b) a score of 68% or higher in PHYS 112 and a score of 68% or higher in PHYS 122. Third-year standing in Science or a 200-level PHYS course taken concurrently.
PHYS 328,Advanced Mechanics,"Variational calculus, the Lagrangian Method applied to a variety of problems, weak anharmonic perturbations of normal-mode systems, Hamilton's equations of motion, phase space, Liouville's theorem, chaos in Hamiltonian systems, rigid-body rotations in three dimensions, Lagrangian formulation of relativistic mechanics, and the Virial theorem. [3-0-0] Prerequisite: All of MATH 200, MATH 221, MATH 225, PHYS 216."
PHYS 401,Electromagnetic Theory,The application of Maxwell's theory to the propagation of electromagnetic waves. [3-0-0] Prerequisite: PHYS 301.
PHYS 402,Advanced Quantum Mechanics,Quantum mechanical methods and concepts emphasizing operator algebra approaches. Commutation relations; quantum dynamics; approximation methods including stationary-state and time-dependent perturbation theory; interaction of radiation with matter; identical particles. [3-0-0] Prerequisite: PHYS 304.
PHYS 418,Methods of Theoretical Physics,"Powerful analytical techniques repeatedly encountered in the subject areas of physics, unity in theoretical treatment of different subject areas. Tensors, operator algebra, variational principles, the Dirac delta-function formalism, adiabatic approximations, and stochastic processes. [3-0-0] Prerequisite: All of MATH 221, MATH 225, MATH 317, PHYS 200, PHYS 216."
PHYS 420,Data and Image Processing,"Introduction to digital signal and image processing. Correlation, convolution, Fourier transforms, digital filtering, model of image formation and degradation, image filtering in the spatial and Fourier domain, deconvolution, multivariate analysis. [3-0-0] Prerequisite: All of MATH 225, MATH 317 and 3 credits in 200-level Physics."
PHYS 425,Low-Temperature Physics,"Cryogenic techniques and instrumentation. Production of low temperatures: cryogenic liquids; closed-cycle refrigerators; dilution refrigerators; magnetic cooling. Low-temperature material properties and cryostat design. Macroscopic quantum effects: superconductivity and superfluidity. [3-2-0] Prerequisite: All of PHYS 215, PHYS 304."
