Course Number,Course Name,Course Description
APSC 440,Management Fundamentals for Technology-Based Product Marketing and Development,"Management topics are presented from the perspective of technology-based industrial practice; project management, marketing and marketing planning, product development and commercialization, introduction to quality management, teamwork and effective individual participation. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: Fourth-year standing in Engineering."
BIOC 301,Biochemistry Laboratory,"Techniques by which the chemical and physical properties of fundamental components of the cell are studied. [0-3-1] Corequisite: One of BIOC 300, BIOC 302, BIOC 303."
BIOC 302,General Biochemistry,"Metabolic reactions of lipids, steroids, amino acids and nucleotides; the biochemistry of replication, transcription and translation. Credit will be granted for only one of BIOC 302 or BIOC 303. [3-0-1] Prerequisite: One of BIOL 201, BIOC 202, BIOC 203 and one of CHEM 203, CHEM 223, CHEM 233. Equivalency: BIOC 303."
CEEN 501,Energy System Fundamentals,"Thermodynamic analysis of energy conversion processes, power cycles and refrigeration cycles. Exergy analysis of conventional energy systems. Thermal conversion technologies. This course is not eligible for Credit/D/Fail grading.  Prerequisite: 3 credits of thermodynamics at the second- or third-year level."
CHBE 355,Kinetics and Reactor Design,"Kinetics of homogeneous chemical and biological reactions, isothermal ideal reactor design, analysis of non-ideal reactors using residence time distribution and mixing models. This course is not eligible for Credit/D/Fail grading. [3-0-1] Prerequisite: All of CHBE 230, CHBE 346, CHBE 352."
CHBE 477,Fuel Cell and Electrochemical Engineering,"Stoichiometry, thermodynamics and kinetics of electrode reactions; conductivity and mass transport in electrolytes; material, energy and voltage balances; design of  electrosynthesis, electrorecovery of metals, and energy generation of batteries and fuel cells. Credit will be granted for only one of CHBE 477, CHBE 577. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: All of CHBE 220, CHBE 241, CHBE 346."
CHBE 483,Energy Engineering,"Supply and use of conventional and alternative fuels and energy.  Design and operation of unit operations for processing of fossil fuels, biomass, and other energy sources.  Environmental considerations of energy use. Credit will be granted for only one of CHBE 483, CHBE 583. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: Third-year Chemical and Biological Engineering."
CHBE 484,Green Engineering Principles and Applications for Process Industries,"Pollution prevention, cleaner production, green chemistry and engineering, industrial ecology, eco-industrial parks, and sustainable development; environmental impact assessment including life-cycle assessment, total cost analysis and environmental systems analysis; reduce/recycling/reuse of wastes and by-products. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: All of CHBE 241, CHBE 244."
CHBE 485,Air Pollution Prevention and Control,"Impacts of air pollutants on health, visibility, smog formation, ozone depletion and global warming; air quality and emission standards; atmospheric dispersion of air pollutants; prevention and control technologies for particulates, SOx, NOx, VOCs, and CO2. Credit will be granted for only one of CHBE 485, CHBE 575. This course is not eligible for Credit/D/Fail grading. [3-0-2*]"
COMR 329,Principles of Organizational Behaviour,"An introductory examination of work organizations and the behaviour of individuals within them. Phenomena to be studied include organizational structure, environments, group processes, motivation and leadership (for non-Commerce students only). Not for students with credit for, or exemption from, COMM 292. This course is not eligible for Credit/D/Fail grading.  Equivalency: COMM 329."
COMR 457,Fundamentals of Financial Accounting,"Financial accounting for business organizations; principles and problems of accounting measurements; forms of business organizations; financing of businesses. (For non-Commerce students only). Not for students with credit for, or exemption from, COMM 293. This course is not eligible for Credit/D/Fail grading.  Equivalency: COMM 457."
COMR 458,Fundamentals of Managerial Accounting,"Use of accounting data in decision making by businesses; financial statement analysis; cash flows; cost behaviour patterns; methods of accounting for costs. (For non-Commerce students only). Not for students with credit for, or exemption from, COMM 294. This course is not eligible for Credit/D/Fail grading.  Prerequisite: One of COMM 293, COMM 457, COMR 457. Equivalency: COMM 458."
