Course Number,Course Name,Course Description
AERO 4003,Aerospace Systems Design,"Stress and deflection analysis; fatigue, safe life, damage tolerant design. Propulsion systems integration; landing gear; control and other subsystems. Mechanical component design. Airworthiness regulations and certification procedures. Weight and cost estimation and control. System reliability. Design studies of aircraft or spacecraft components."
AERO 4009,Aviation Management and Certification,"Product development, quality control. Strategic organizational analysis and design. Airworthiness, type certification and planning, delegation of authority, airplane flight manual. Aerospace system design and safety."
AERO 4300,Acoustics and Noise Control,"Behaviour of compressible fluids, sound waves and properties of sound sources; measurement of sound; human perception of sound; prediction methods based on energy considerations; sound propagation in realistic environments: outdoors, rooms, ducts; absorption and transmission loss, noise control; case studies."
AERO 4302,Aerodynamics and Heat Transfer,Differential equations of motion. Viscous and inviscid regions. Potential flow: superposition; thin airfoils; finite wings; compressibility corrections. Viscous flow: thin shear layer approximation; laminar layers; transition; turbulence modeling. Convective heat transfer: free versus forced convection; energy and energy integral equations; turbulent diffusion.
AERO 4304,Computational Fluid Dynamics,Differential equations of motion. Numerical integration of ordinary differential equations. Potential flows: panel methods; direct solution; vortex-lattice methods. Finite-difference formulations: explicit versus implicit methods; stability. Parabolized and full Navier-Stokes equations; conservation form. Transonic and supersonic flows: upwind differencing. Grid transformations. Computer-based assignments.
AERO 4306,Aerospace Vehicle Performance,"Morphology of aircraft and spacecraft. Performance analysis of fixed wing aircraft: drag estimation, propulsion, take-off, climb and landing, endurance, payload/range, manoeuvres; operational economics. Performance analysis of rotor craft: rotor-blade motion, hovering and vertical ascent, forward flight, and autorotation. Rocket propulsion; escape velocity; orbital dynamics."
AERO 4308,Aircraft Stability and Control,Static stability and control: equilibrium requirements; longitudinal stability requirements; neutral points; manoeuvring flight; control forces and control requirements; lateral static stability certification requirements. Dynamic stability: axis systems; governing equations; phugoid and short period modes; lateral dynamic modes. Closed-loop control.
AERO 4402,Aerospace Propulsion,"Propulsion requirements, effects of Mach Number, altitude, and application; basic propeller theory; propeller, turboshaft, turbojet, turbofan and rocket; cycle analysis and optimization for gas turbine power plant; inter-relations between thermodynamic, aerodynamic and mechanical designs; rocket propulsion; selection of aeroengines."
AERO 4442,Transatmospheric and Spacecraft Propulsion,"Planetary/interplanetary environments and effects. Launch and spacecraft propulsion: liquid/solid/hybrid rockets, ram/scramjets, combined cycle engines, electrothermal, electromagnetic, electrostatic, nuclear, and propellantless propulsion. Trajectory analysis, multi-staging, separation dynamics. Advanced engine concepts."
AERO 4446,Heat Transfer for Aerospace Applications,"Fundamentals of heat transfer with emphasis on aerospace systems design. Conduction, convection and radiation modes of heat transfer. Radiation exchange between surfaces and view factors. Radiation in spacecraft thermal control. High speed flight and reentry heating."
AERO 4540,Spacecraft Attitude Dynamics and Control,"Rigid body dynamics. The dynamic behavior of spacecraft. Environmental torques. The design of attitude control systems. Gravity gradient, spin, and dual spin stabilization. Attitude manoeuvres. The design of automatic control systems. Impacts of attitude stabilization techniques on mission performance."
AERO 4602,Introductory Aeroelasticity,"Review of structural behaviour of lifting surface elements; structural dynamics, Laplace Transforms, dynamic stability; modal analysis; flutter, Theodorsen's theory; flutter of a typical section; wing flutter, T-tail flutter, propeller whirl flutter; gust response; buffeting, limit cycle flutter."
AERO 4607,Rotorcraft Aerodynamics and Performance,"Rotorcraft history and fundamentals. Momentum theory: hover, axial climb and descent, autorotation, forward flight, momentum theory for coaxial and tandem rotors. Blade element analysis. Rotor airfoil aerodynamics. Rotor blade dynamics and trim. Helicopter performance, height-velocity curves, conceptual design. High-speed rotorcraft."
AERO 4608,Composite Materials,Reinforcing mechanisms in composite materials; material properties. Strength and elastic constants of unidirectional composites; failure criteria. Analysis of laminated plates; bending and eigenvalue problems. Environmental effects and durability. Damage tolerance. Design of composite structures.
AERO 4609,Joining of Materials,"Design for joining: base material and component geometry. Selection of joining method and filler material; Adhesive bonding; Soldering; Brazing; Diffusion bonding; Resistance welding; Fusion welding (GTAW, EB, laser and plasma arc); Friction welding; NDE. Emphasis on Aerospace materials and applications."
AERO 4842,Spacecraft Design II,"System view of spacecraft. Requirements definition.  Spacecraft payloads (remote sensing, imaging systems, astronomy instrumentation etc.).  Exploration missions.  Implications for systems and missions.  Space system design case studies."
MAAE 4102,Materials: Strength and Fracture,"Analysis and prevention of failures in metals; plasticity analysis and plastic collapse; micro-mechanisms of fracture, conditions leading to crack growth and transition temperature effects, fracture mechanics, fatigue, environmentally assisted cracking, non-destructive evaluation and testing."
MAAE 4902,Special Topics: Mechanical and Aerospace Engineering,"Selected advanced topics of interest to Aerospace and Mechanical Engineering students, subject to the discretion of the Faculty of Engineering and Design."
MAAE 4903,Special Topics: Mech & Aero Eng.,"At the discretion of the Faculty, a course may be offered that deals with selected advanced topics of interest to Aerospace and Mechanical Engineering students."
MAAE 4904,Special Topics: Mechanical and Aerospace Engineering,"Selected advanced topics of interest to Aerospace and Mechanical Engineering students, subject to the discretion of the Faculty of Engineering and Design."
MAAE 4906,Special Topics: Mech and Aero Eng.,"At the discretion of the Faculty, a course may be offered that deals with selected advanced topics of interest to Aerospace and Mechanical Engineering students."
MAAE 4907,Engineering Design Project,"Team project in the design of an aerospace, biomedical, mechanical, or sustainable energy system. Opportunity to develop initiative, engineering judgement, self-reliance, and creativity in a team environment. Results submitted in a comprehensive report as well as through formal oral presentations."
MAAE 4917,Undergraduate Directed Study,"Study, analysis, and solution of an engineering problem. Results presented in the form of a written report. Carried out under the close supervision of a faculty member. Intended for students interested in pursuing graduate studies. Requires supervising faculty member and proposal from student."
MECH 4003,Mechanical Systems Design,"Design of mechanical systems: establishing design criteria, conceptual design, design economics, value analysis, synthesis and optimization. Mechanical elements/systems: gear and flexible drive systems, fluid power systems. These elements are utilized in group design projects."
MECH 4006,Vehicle Engineering I,"The course emphasizes the engineering and design principles of road transport vehicles. Topics to be covered include: performance characteristics, handling behaviour and ride quality of road vehicles."
MECH 4007,Vehicle Engineering II,"Engineering and design principles of off-road vehicles and air cushion technology. Topics include: mechanics of vehicle-terrain interaction - terramechanics, performance characteristics of off-road vehicles, steering of tracked vehicles, air cushion systems and their performance, applications of air cushion technology to transportation."
MECH 4013,Biomedical Device Design,"Medical Devices: the industry and its regulation. Design methodologies. Examination of specific medical devices: surgical equipment, orthopedic devices, rehabilitation engineering, life support, artificial organs. Case studies."
MECH 4101,Mechanics of Deformable Solids,"Course extends the student's ability in design and stress analysis. Topics include: introductory continuum mechanics, theory of elasticity, stress function approach, Lamé and Mitchell problems, stress concentrations, thermoelasticity and plasticity."
MECH 4102,Corrosion and Corrosion Control,"Introduction to corrosion. Corrosion mechanisms. Thermodynamics of corrosion. Electro-chemical kinetics of corrosion. Corrosion: types, prevention, control, testing, monitoring and inspection techniques. Corrosion in specific metals (eg. Fe, Ni, Ti and Al). Corrosion issues in specific industries: power generation and chemical processing industries."
MECH 4103,Fatigue and Fracture Analysis,"Elastic and elasto-plastic fracture mechanics. Fatigue design methods, fatigue crack initiation and growth Paris law and strain-life methods. Fatigue testing, scatter, mean stress effects and notches. Welded and built up structures, real load histories and corrosion fatigue. Damage tolerant design and fracture control plans."
MECH 4104,Vibration Analysis,"Free and forced vibrations of one and two degree-of-freedom systems. Vibration measurement and isolation. Numerical methods for multi-degree-of-freedom systems. Modal analysis techniques. Dynamic vibration absorbers. Shaft whirling. Vibration of continuous systems: bars, plates, beams and shafts. Energy methods. Holzer method."
MECH 4105,Introduction to Nuclear Engineering,"Atomic theory, nuclear physics, radioactivity, photoelectric effect, mass defect, binding energy, nuclides, neutron diffusion and moderation.  Reactor theory, kinetics, control.   Reactor types, reactor poisoning, xenon oscillations. Reactor materials, corrosion, fuel and fuel cycle.  Nuclear medicine.  Radiation protection, reactor safety fundamentals."
MECH 4106,Nuclear Power Plant Design,"Elements of design, basic design, and new generation of nuclear reactors. Major systems of CANDU reactor and its safety principles. Balance of Plant Systems. Licensing requirements for design (IAEA, CNSC and USNRC regulations). Analytical/computer codes in safety assessments and design."
MECH 4107,Internal Combustion Engines,"This course explores the design process of an internal combustion engine including:  Internal Aerodynamics, Combustion, Rotating and Reciprocating Components, Structures, Control Systems, Manufacturing and Testing Methods.  Students will design/optimize an engine component utilizing industry standard Ricardo Wave simulation software."
MECH 4210,Biomechanics,"The biomechanics of biological systems; muscles and movement, nerves and motor control. Measurements of motion, strain and neural signals. The hand and manipulation; locomotion and the leg."
MECH 4305,Fluid Machinery,"Types of machines. Similarity: performance parameters; characteristics; cavitation. Velocity triangles. Euler equation: impulse and reaction. Radial pumps and compressors: analysis, design and operation. Axial pumps and compressors: cascade and blade-element methods; staging; off-design performance; stall and surge. Axial turbines. Current design practice."
MECH 4401,Power Plant Analysis,"Criteria of merit; selection of power plant for transportation and power generation applications; interrelation among mechanical, thermodynamic and aerodynamic design processes; jet propulsion, turbojets and turbofans; alternative proposals for vehicular power plant; combined cycle applications."
